#Source_Name,ASSOC_GAM,ASSOC_TEV,CLASS,ASSOC1,ASSOC2,Flags
4FGL J0000.3-7355,,,,,,0
4FGL J0001.2+4741,,,bcu,B3 2358+474,,0
4FGL J0001.2-0747,3FHL J0001.2-0748,,bll,PMN J0001-0746,,0
4FGL J0001.5+2113,3FGL J0001.4+2120,,fsrq,TXS 2358+209,,0
4FGL J0001.6-4156,3FHL J0001.9-4155,,bcu,1RXS J000135.5-415519,,0
4FGL J0002.1-6728,3FHL J0002.1-6728,,bcu,SUMSS J000215-672653,,0
4FGL J0002.1+6721,,,unk,1RXS J000209.4+672503,,1
4FGL J0002.8+6217,3FGL J0002.6+6218,,PSR,PSR J0002+6216,,0
4FGL J0003.1-5248,3FHL J0003.3-5248,,bcu,RBS 0006,,0
4FGL J0003.2+2207,,,,,,0
4FGL J0003.3+2511,,,,,,0
4FGL J0003.3-1928,,,bcu,PKS 0000-197,,0
4FGL J0003.3-5905,,,bcu,PMN J0003-5905,,4
4FGL J0003.6+3059,3FGL J0003.4+3100,,,,,0
4FGL J0003.9-1149,3FGL J0003.8-1151,,bll,PMN J0004-1148,,0
4FGL J0004.0+5715,3FGL J0003.5+5721,,,,,0
4FGL J0004.0+0840,3FGL J0004.2+0843,,bcu,SDSS J000359.23+084138.1,,0
4FGL J0004.4-4737,3FGL J0004.7-4740,,fsrq,PKS 0002-478,,0
4FGL J0004.4-4001,,,,,,0
4FGL J0005.6+6746,3FGL J0004.2+6757,,,,,0
4FGL J0005.9+3824,3FGL J0006.4+3825,,fsrq,S4 0003+38,,0
4FGL J0006.3-0620,,,bll,CGRaBS J0006-0623,,0
4FGL J0006.4+0135,3FGL J0006.2+0135,,bcu,NVSS J000626+013611,,0
4FGL J0006.6+4618,3FGL J0006.6+4618,,,,,0
4FGL J0007.0+7303,3FHL J0007.0+7303,CTA 1,PSR,PSR J0007+7303,,0
4FGL J0007.7+4008,3FGL J0007.9+4006,,bcu,NVSS J000741+400830,,0
4FGL J0008.0+4711,3FHL J0007.9+4711,,bll,MG4 J000800+4712,,0
4FGL J0008.0-3937,,,bcu,PMN J0008-3945,,0
4FGL J0008.4+6926,3FGL J0008.5+6853,,,,,0
4FGL J0008.4-2339,3FHL J0008.4-2339,,bll,RBS 0016,,0
4FGL J0008.4+1455,3FGL J0008.3+1456,,bcu,NVSS J000825+145635,,0
4FGL J0008.9+2509,,,,,,0
4FGL J0009.1-5012,,,,,,0
4FGL J0009.1+0628,3FHL J0009.1+0628,,bll,TXS 0006+061,,0
4FGL J0009.2+6847,3FGL J0008.5+6853,,,,,0
4FGL J0009.2+1745,,,,,,0
4FGL J0009.3+5030,3FHL J0009.4+5030,,bll,NVSS J000922+503028,,0
4FGL J0009.7-1418,3FGL J0010.5-1425,,,,,0
4FGL J0009.7-3217,3FGL J0009.6-3211,,rdg,IC 1531,,0
4FGL J0009.8-4317,3FHL J0009.7-4319,,bll,SUMSS J000949-431654,,0
4FGL J0010.6+2043,,,fsrq,TXS 0007+205,,0
4FGL J0010.6-3025,,,fsrq,PKS 0008-307,,0
4FGL J0010.8-2154,,,bcu,PKS 0008-222,,0
4FGL J0011.4+0057,2FGL J0011.3+0054,,fsrq,RX J0011.5+0058,,0
4FGL J0011.8-3142,,,bcu,SUMSS J001141-314220,,0
4FGL J0012.0+7043,3FGL J0012.4+7040,,bcu,TXS 0008+704,,0
4FGL J0013.1-3955,3FHL J0013.0-3956,,bll,PKS 0010-401,,0
4FGL J0013.6+4051,,,agn,4C +40.01,,0
4FGL J0013.6-0424,,,fsrq,PKS 0011-046,,0
4FGL J0013.9-1854,3FHL J0013.8-1855,SHBL J001355.9-185406,bll,RBS 0030,,0
4FGL J0014.1+1910,2FGL J0013.8+1907,,bll,MG3 J001356+1910,,0
4FGL J0014.1-5022,3FHL J0014.0-5024,,bll,RBS 0032,,0
4FGL J0014.2+0854,,,bll,MS 0011.7+0837,,0
4FGL J0014.3-0500,3FGL J0014.3-0455,,bcu,GALEXASC J001420.46-045929.1,,0
4FGL J0014.7+5801,3FHL J0014.7+5801,,bll,1RXS J001442.2+580201,,0
4FGL J0014.8+6118,3FHL J0014.9+6118,,bcu,4C +60.01,,0
4FGL J0014.9+3212,,,bcu,3C 6,,0
4FGL J0015.2+3537,,,bll,RX J0015.4+3536,,0
4FGL J0015.6+5551,3FHL J0015.7+5551,,bll,GB6 J0015+5551,,0
4FGL J0015.9+2440,,,bcu,GB6 J0016+2440,,0
4FGL J0016.2-0016,3FGL J0016.3-0013,,fsrq,S3 0013-00,,0
4FGL J0016.5+1702,3FGL J0016.5+1713,,fsrq,GB6 J0015+1700,,4
4FGL J0017.0-0649,3FGL J0017.2-0643,,bcu,PMN J0017-0650,,0
4FGL J0017.1-4605,,,,,,0
4FGL J0017.5-0514,3FGL J0017.6-0512,,FSRQ,PMN J0017-0512,,0
4FGL J0017.8+1455,,,bll,GB6 J0017+1450,,0
4FGL J0018.4+2946,3FHL J0018.6+2946,,bll,RBS 0042,,0
4FGL J0019.2-5640,3FGL J0019.1-5645,,bcu,PMN J0019-5641,,0
4FGL J0019.3-8152,3FHL J0019.1-8151,,bll,PMN J0019-8152,,0
4FGL J0019.6+7327,,,fsrq,S5 0016+73,,0
4FGL J0019.6+2022,3FGL J0019.4+2021,,bll,PKS 0017+200,,0
4FGL J0021.0+0322,3FGL J0020.9+0323,,bcu,2MASS J00205023+0323578,,0
4FGL J0021.5-2552,3FHL J0021.4-2550,,bll,CRATES J002132.55-255049.3,,0
4FGL J0021.6-0855,,,bll,NVSS J002142-090044,,0
4FGL J0021.9-5140,3FHL J0021.8-5140,,bll,1RXS J002159.2-514028,,0
4FGL J0022.0+0006,3FHL J0022.0+0006,,bll,RX J0022.0+0006,,0
